,latitude,longitude
0,37.88,-122.23
1,37.86,-122.22
2,37.85,-122.24
3,37.85,-122.25
4,37.85,-122.25
5,37.85,-122.25
6,37.84,-122.25
7,37.84,-122.25
8,37.84,-122.26
9,37.84,-122.25
10,37.85,-122.26
11,37.85,-122.26
12,37.85,-122.26
13,37.84,-122.26
14,37.85,-122.26
15,37.85,-122.26
16,37.85,-122.27
17,37.85,-122.27
18,37.84,-122.26
19,37.84,-122.27
20,37.85,-122.27
21,37.85,-122.27
22,37.84,-122.27
23,37.84,-122.27
24,37.84,-122.27
25,37.85,-122.28
26,37.85,-122.28
27,37.85,-122.28
28,37.84,-122.28
29,37.84,-122.28
30,37.84,-122.28
31,37.84,-122.28
32,37.84,-122.27
33,37.83,-122.27
34,37.83,-122.27
35,37.83,-122.27
36,37.83,-122.27
37,37.83,-122.28
38,37.83,-122.26
39,37.83,-122.26
40,37.83,-122.26
41,37.83,-122.26
42,37.84,-122.26
43,37.84,-122.26
44,37.83,-122.26
45,37.83,-122.26
46,37.83,-122.26
47,37.82,-122.27
48,37.82,-122.26
49,37.82,-122.27
50,37.82,-122.27
51,37.82,-122.27
52,37.82,-122.27
53,37.82,-122.27
54,37.82,-122.28
55,37.82,-122.28
56,37.82,-122.28
57,37.82,-122.28
58,37.82,-122.28
59,37.82,-122.29
60,37.83,-122.29
61,37.82,-122.29
62,37.81,-122.29
63,37.81,-122.3
64,37.81,-122.3
65,37.81,-122.3
66,37.81,-122.3
67,37.8,-122.29
68,37.81,-122.3
69,37.81,-122.29
70,37.81,-122.29
71,37.81,-122.29
72,37.81,-122.29
73,37.81,-122.29
74,37.81,-122.29
75,37.81,-122.28
76,37.81,-122.28
77,37.81,-122.28
78,37.81,-122.29
79,37.8,-122.28
80,37.81,-122.28
81,37.81,-122.27
82,37.81,-122.28
83,37.81,-122.28
84,37.81,-122.28
85,37.81,-122.28
86,37.81,-122.27
87,37.81,-122.27
88,37.8,-122.27
89,37.8,-122.27
90,37.8,-122.27
91,37.8,-122.28
92,37.8,-122.28
93,37.79,-122.27
94,37.8,-122.27
95,37.8,-122.26
96,37.82,-122.26
97,37.81,-122.26
98,37.82,-122.26
99,37.82,-122.26
100,37.81,-122.25
101,37.81,-122.25
102,37.81,-122.25
103,37.81,-122.25
104,37.81,-122.26
105,37.82,-122.24
106,37.81,-122.24
107,37.81,-122.25
108,37.82,-122.24
109,37.82,-122.25
110,37.82,-122.25
111,37.82,-122.25
112,37.82,-122.25
113,37.83,-122.25
114,37.83,-122.25
115,37.83,-122.25
116,37.83,-122.25
117,37.83,-122.25
118,37.84,-122.23
119,37.84,-122.23
120,37.83,-122.24
121,37.85,-122.24
122,37.85,-122.23
123,37.84,-122.24
124,37.85,-122.24
125,37.85,-122.22
126,37.84,-122.22
127,37.84,-122.21
128,37.83,-122.21
129,37.84,-122.2
130,37.84,-122.21
131,37.84,-122.19
132,37.84,-122.2
133,37.83,-122.21
134,37.83,-122.19
135,37.83,-122.2
136,37.83,-122.19
137,37.82,-122.19
138,37.82,-122.2
139,37.82,-122.2
140,37.81,-122.18
141,37.82,-122.21
142,37.81,-122.2
143,37.8,-122.21
144,37.8,-122.21
145,37.81,-122.21
146,37.81,-122.22
